ID_Station,Phase,Type_Filtre,ID_Filtre,Date,Mois,Temperature_C,pH,Conductivite_uS_cm,Potentiel_Redox_mV,DBO5_mg_L,DCO_mg_L,MES_mg_L,MVS_pct,Nitrates_mg_L,Ammonium_mg_L,Azote_Total_mg_L,Phosphates_mg_L,Coliformes_Fecaux_CFU_100ml,Oeufs_Helminthes,Huiles_Graisses,Nom_Feuille,Contient_Valeurs_Estimees
Sanar_Station,Sortie,Filtre_Horizontal,FH,2019-05-01,,23.7,7.81,1192.0,110.0,3.1,131.0,7.0,,11.97,3.0,75.0,19.0,0.0,,,SFHa,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,2019-05-01,,26.7,7.59,1272.0,-209.0,64.7,247.0,50.0,,4.52,20.0,60.0,11.0,1000000.0,,,SFV1a,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,2019-05-01,,24.9,8.38,1272.0,-12.0,90.0,260.0,61.0,,9.04,30.0,130.0,23.1,13300000.0,,,SFV1b,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,2019-05-01,,25.7,8.12,1192.0,44.0,39.4,184.0,28.0,,6.78,60.0,110.0,16.1,1000000.0,,,SFV1c,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,2019-05-01,,25.3,5.21,1080.0,24.0,,101.0,6.0,,2.03,5.0,98.0,12.5,0.0,,,SFV2a,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,2019-05-01,,25.8,5.53,1068.0,180.0,1.1,136.0,20.0,,9.71,2.0,73.0,14.0,6670.0,,,SFV2b,False
Sanar_Station,Entree,Non_Applicable,FV1,2019-05-13,,27.4,7.35,1404.0,-237.0,,,,,,,,,,,,Entree FV1,True
Sanar_Station,Entree,Non_Applicable,General,2019-05-13,,27.4,7.84,1282.0,-224.0,,,,,,,,,,,,Entree 1,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,2019-05-13,,25.3,7.71,1110.0,125.0,,,,,,,,,,,,SFHa,True
Sanar_Station,Sortie,Filtre_Vertical,FV1,2019-05-13,,28.8,8.1,1203.0,-185.0,,,,,,,,,,,,SFV1c,True
Sanar_Station,Sortie,Filtre_Vertical,FV2,2019-05-13,,26.8,5.73,1065.0,182.0,,,,,,,,,,,,SFV2a,True
Sanar_Station,Entree,Non_Applicable,FV1,2019-05-23,,27.5,7.58,1339.0,-248.0,,,,,,,,,,,,Entree FV1,True
Sanar_Station,Entree,Non_Applicable,General,2019-05-23,,26.4,7.33,1214.0,-213.0,,,,,,,,,,,,Entree 1,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,2019-05-23,,24.4,8.08,1110.0,137.0,,,,,,,,,,,,SFHa,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,2019-05-23,,24.2,8.09,1172.0,133.0,,,,,,,,,,,,SFHb,True
Sanar_Station,Sortie,Filtre_Vertical,FV1,2019-05-23,,28.1,8.13,1144.0,-176.0,,,,,,,,,,,,SFV1a,True
Sanar_Station,Sortie,Filtre_Vertical,FV2,2019-05-23,,26.6,5.73,1020.0,200.0,,,,,,,,,,,,SFV2b,True
Sanar_Station,Entree,Non_Applicable,FV1,2019-05-27,,26.6,7.67,1283.0,-239.0,,,,,,,,,,,,Entree FV1,True
Sanar_Station,Entree,Non_Applicable,General,2019-05-27,,26.7,8.02,1163.0,-201.0,,,,,,,,,,,,Entree 1,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,2019-05-27,,25.6,8.28,1040.0,211.0,,,,,,,,,,,,SFHa,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,2019-05-27,,23.4,8.17,1083.0,174.0,,,,,,,,,,,,SFHb,True
Sanar_Station,Sortie,Filtre_Vertical,FV1,2019-05-27,,27.9,8.26,1165.0,-200.0,,,,,,,,,,,,SFV1b,True
Sanar_Station,Sortie,Filtre_Vertical,FV2,2019-05-27,,26.3,6.51,904.0,217.0,,,,,,,,,,,,SFV2a,True
Sanar_Station,Entree,Non_Applicable,FV1,2019-06-17,,28.6,7.59,1427.0,-244.0,,,,,,,,,,,,Entree FV1,True
Sanar_Station,Entree,Non_Applicable,General,2019-06-17,,28.7,7.75,1310.0,-213.0,,,,,,,,,,,,Entree 1,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,2019-06-17,,26.8,7.67,812.0,167.0,,,,,,,,,,,,SFHa,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,2019-06-17,,26.5,7.68,893.0,165.0,,,,,,,,,,,,SFHb,True
Sanar_Station,Sortie,Filtre_Vertical,FV1,2019-06-17,,29.6,7.53,1221.0,10.0,,,,,,,,,,,,SFV1a,True
Sanar_Station,Sortie,Filtre_Vertical,FV1,2019-06-17,,29.3,8.28,1196.0,-106.0,,,,,,,,,,,,SFV1b,True
Sanar_Station,Sortie,Filtre_Vertical,FV1,2019-06-17,,29.3,8.17,1267.0,-70.0,,,,,,,,,,,,SFV1c,True
Sanar_Station,Sortie,Filtre_Vertical,FV2,2019-06-17,,27.0,5.14,1212.0,278.0,,,,,,,,,,,,SFV2a,True
Sanar_Station,Sortie,Filtre_Vertical,FV2,2019-06-17,,26.8,5.19,1224.0,253.0,,,,,,,,,,,,SFV2b,True
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False
Sanar_Station,Entree,Non_Applicable,FV1,,,,7.4712499999999995,,-247.42857142857142,523.0,1187.5,251.5,85.5,21.797500000000003,55.0,490.0,47.25,3167500.0,,237.0,Entree FV1,False
Sanar_Station,Entree,Non_Applicable,FV1,,,,7.67,,-212.0,597.0,1510.0,300.0,85.5,27.1,58.0,900.0,69.6,4000000.0,0.0,237.0,Entree FV1,False
Sanar_Station,Entree,Non_Applicable,FV1,,,,7.28,,-295.0,361.0,740.0,220.0,85.5,17.17,50.0,110.0,20.4,2670000.0,0.0,237.0,Entree FV1,False
Sanar_Station,Entree,Non_Applicable,FV1,,,,0.15132155922311358,,25.171790711410416,111.6422858956229,334.80093588081064,34.11255878216506,,4.924167442319551,3.559026084010437,418.011164125234,21.409265906767253,636258.595226815,,,Entree FV1,False
Sanar_Station,Entree,Non_Applicable,FV1,,,,0.020253847645723754,,-0.10173356523087351,0.21346517379660213,0.2819376302154195,0.13563641662888692,,0.225905147026932,0.06470956516382613,0.8530840084188449,0.4531061567569789,0.200870906148955,,,Entree FV1,False
Sanar_Station,Entree,Non_Applicable,FV2,,,,0.0,,0.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entréé FV2,False
Sanar_Station,Entree,Non_Applicable,FV2,,,,0.0,,,97.96249999999999,240.91666666666669,60.50000000000001,43.76666666666667,26.64416666666667,139.08333333333331,158.33333333333334,119.60000000000001,3486666.6666666665,,88.16666666666667,Entréé FV2,False
Sanar_Station,Entree,Non_Applicable,FV2,,,,0.0,,0.0,179.91666666666666,253.0,72.66666666666667,43.76666666666667,66.66666666666667,443.3333333333333,230.0,338.3333333333333,5100000.0,0.0,88.16666666666667,Entréé FV2,False
Sanar_Station,Entree,Non_Applicable,FV2,,,,0.0,,0.0,64.7,230.33333333333334,46.333333333333336,43.76666666666667,6.78,36.333333333333336,90.0,16.733333333333334,2666666.6666666665,0.0,88.16666666666667,Entréé FV2,False
Sanar_Station,Entree,Non_Applicable,FV2,,,,0.0,,,54.831145473069306,9.342753182924023,13.306918278627588,,27.909659468841006,202.84008936068793,73.56025496904635,147.43401286049345,1132012.301987859,,,Entréé FV2,False
