id_station,phase,type_filtre,id_filtre,ph,potentiel_redox_mv,dbo5_mg_l,dco_mg_l,mes_mg_l,nitrates_mg_l,ammonium_mg_l,azote_total_mg_l,phosphates_mg_l,coliformes_fecaux_cfu_100ml,nom_feuille,contient_valeurs_estimees
Sanar_Station,Entree,Non_Applicable,General,7.33,-213.0,,,,,,,,,Entree 1,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,8.08,137.0,,,,,,,,,SFHa,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,8.09,133.0,,,,,,,,,SFHb,True
Sanar_Station,Sortie,Filtre_Vertical,FV1,8.13,-176.0,,,,,,,,,SFV1a,True
Sanar_Station,Sortie,Filtre_Vertical,FV2,5.73,200.0,,,,,,,,,SFV2b,True
Sanar_Station,Entree,Non_Applicable,FV1,7.67,-239.0,,,,,,,,,Entree FV1,True
Sanar_Station,Entree,Non_Applicable,General,8.02,-201.0,,,,,,,,,Entree 1,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,8.28,211.0,,,,,,,,,SFHa,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,8.17,174.0,,,,,,,,,SFHb,True
Sanar_Station,Sortie,Filtre_Vertical,FV1,8.26,-200.0,,,,,,,,,SFV1b,True
Sanar_Station,Sortie,Filtre_Vertical,FV2,6.51,217.0,,,,,,,,,SFV2a,True
Sanar_Station,Entree,Non_Applicable,FV1,7.59,-244.0,,,,,,,,,Entree FV1,True
Sanar_Station,Entree,Non_Applicable,General,7.75,-213.0,,,,,,,,,Entree 1,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,7.67,167.0,,,,,,,,,SFHa,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,7.68,165.0,,,,,,,,,SFHb,True
Sanar_Station,Sortie,Filtre_Vertical,FV1,7.53,10.0,,,,,,,,,SFV1a,True
Sanar_Station,Sortie,Filtre_Vertical,FV1,8.28,-106.0,,,,,,,,,SFV1b,True
Sanar_Station,Sortie,Filtre_Vertical,FV1,8.17,-70.0,,,,,,,,,SFV1c,True
Sanar_Station,Sortie,Filtre_Vertical,FV2,5.14,278.0,,,,,,,,,SFV2a,True
Sanar_Station,Sortie,Filtre_Vertical,FV2,5.19,253.0,,,,,,,,,SFV2b,True
Sanar_Station,Entree,Non_Applicable,FV1,8.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Entree FV1,False
Sanar_Station,Entree,Non_Applicable,FV1,7.471249999999999,-247.42857142857144,523.0,1187.5,251.5,21.797500000000003,55.0,490.0,47.25,3167500.0,Entree FV1,False
Sanar_Station,Entree,Non_Applicable,FV1,7.67,-212.0,597.0,1510.0,300.0,27.1,58.0,900.0,69.6,4000000.0,Entree FV1,False
Sanar_Station,Entree,Non_Applicable,FV1,7.28,-295.0,361.0,740.0,220.0,17.17,50.0,110.0,20.4,2670000.0,Entree FV1,False
Sanar_Station,Entree,Non_Applicable,FV1,0.1513215592231135,25.171790711410416,111.6422858956229,334.80093588081064,34.11255878216506,4.924167442319551,3.559026084010437,418.011164125234,21.409265906767253,636258.595226815,Entree FV1,False
Sanar_Station,Entree,Non_Applicable,FV1,0.0202538476457237,-0.1017335652308735,0.2134651737966021,0.2819376302154195,0.1356364166288869,0.225905147026932,0.0647095651638261,0.8530840084188449,0.4531061567569789,0.200870906148955,Entree FV1,False
Sanar_Station,Entree,Non_Applicable,FV2,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Entréé FV2,False
Sanar_Station,Entree,Non_Applicable,FV2,0.0,,97.9625,240.91666666666669,60.50000000000001,26.64416666666667,139.08333333333331,158.33333333333334,119.6,3486666.6666666665,Entréé FV2,False
Sanar_Station,Entree,Non_Applicable,FV2,0.0,0.0,179.91666666666666,253.0,72.66666666666667,66.66666666666667,443.3333333333333,230.0,338.3333333333333,5100000.0,Entréé FV2,False
