ID_Station_entree,Phase_entree,Type_Filtre_entree,ID_Filtre_entree,Date,Mois_entree,Temperature_C_entree,pH_entree,Conductivite_uS_cm_entree,Potentiel_Redox_mV_entree,DBO5_mg_L_entree,DCO_mg_L_entree,MES_mg_L_entree,MVS_pct_entree,Nitrates_mg_L_entree,Ammonium_mg_L_entree,Azote_Total_mg_L_entree,Phosphates_mg_L_entree,Coliformes_Fecaux_CFU_100ml_entree,Oeufs_Helminthes_entree,Huiles_Graisses_entree,Nom_Feuille_entree,Contient_Valeurs_Estimees_entree,ID_Station_sortie,Phase_sortie,Type_Filtre_sortie,ID_Filtre_sortie,Mois_sortie,Temperature_C_sortie,pH_sortie,Conductivite_uS_cm_sortie,Potentiel_Redox_mV_sortie,DBO5_mg_L_sortie,DCO_mg_L_sortie,MES_mg_L_sortie,MVS_pct_sortie,Nitrates_mg_L_sortie,Ammonium_mg_L_sortie,Azote_Total_mg_L_sortie,Phosphates_mg_L_sortie,Coliformes_Fecaux_CFU_100ml_sortie,Oeufs_Helminthes_sortie,Huiles_Graisses_sortie,Nom_Feuille_sortie,Contient_Valeurs_Estimees_sortie,Rendement_DBO5_pct,Rendement_DCO_pct,Rendement_MES_pct,Rendement_Azote_Total_pct,Rendement_Phosphates_pct
Sanar_Station,Entree,Non_Applicable,FV1,2019-04-23,,26.7,7.32,1454.0,-212.0,597.0,1510.0,300.0,,27.1,57.0,900.0,58.0,3330000.0,,,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,27.4,8.02,1164.0,-55.0,76.0,234.0,55.0,,18.07,23.0,120.0,86.0,3670000.0,,,SFV1a,False,87.27,84.5,81.67,86.67,-48.28
Sanar_Station,Entree,Non_Applicable,FV1,2019-04-23,,26.7,7.32,1454.0,-212.0,597.0,1510.0,300.0,,27.1,57.0,900.0,58.0,3330000.0,,,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,27.9,8.35,1280.0,-177.0,92.8,280.0,58.0,,4.51,38.0,80.0,37.0,2330000.0,,,SFV1b,False,84.46,81.46,80.67,91.11,36.21
Sanar_Station,Entree,Non_Applicable,FV1,2019-04-23,,26.7,7.32,1454.0,-212.0,597.0,1510.0,300.0,,27.1,57.0,900.0,58.0,3330000.0,,,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,26.8,8.2,1154.0,-108.0,59.1,210.0,43.0,,2.26,59.0,70.0,80.0,2000000.0,,,SFV1c,False,90.1,86.09,85.67,92.22,-37.93
Sanar_Station,Entree,Non_Applicable,General,2019-04-23,,25.6,7.46,1722.0,-215.0,,2500.0,778.0,,47.44,23.3,1200.0,42.0,123000000.0,,,Entree 1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,27.4,8.02,1164.0,-55.0,76.0,234.0,55.0,,18.07,23.0,120.0,86.0,3670000.0,,,SFV1a,False,,90.64,92.93,90.0,-104.76
Sanar_Station,Entree,Non_Applicable,General,2019-04-23,,25.6,7.46,1722.0,-215.0,,2500.0,778.0,,47.44,23.3,1200.0,42.0,123000000.0,,,Entree 1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,27.9,8.35,1280.0,-177.0,92.8,280.0,58.0,,4.51,38.0,80.0,37.0,2330000.0,,,SFV1b,False,,88.8,92.54,93.33,11.9
Sanar_Station,Entree,Non_Applicable,General,2019-04-23,,25.6,7.46,1722.0,-215.0,,2500.0,778.0,,47.44,23.3,1200.0,42.0,123000000.0,,,Entree 1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,26.8,8.2,1154.0,-108.0,59.1,210.0,43.0,,2.26,59.0,70.0,80.0,2000000.0,,,SFV1c,False,,91.6,94.47,94.17,-90.48
Sanar_Station,Entree,Non_Applicable,FV1,2019-05-01,,25.9,7.59,1543.0,-295.0,537.0,1360.0,244.0,,17.17,50.0,150.0,20.4,4000000.0,,,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,26.7,7.59,1272.0,-209.0,64.7,247.0,50.0,,4.52,20.0,60.0,11.0,1000000.0,,,SFV1a,False,87.95,81.84,79.51,60.0,46.08
Sanar_Station,Entree,Non_Applicable,FV1,2019-05-01,,25.9,7.59,1543.0,-295.0,537.0,1360.0,244.0,,17.17,50.0,150.0,20.4,4000000.0,,,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,24.9,8.38,1272.0,-12.0,90.0,260.0,61.0,,9.04,30.0,130.0,23.1,13300000.0,,,SFV1b,False,83.24,80.88,75.0,13.33,-13.24
Sanar_Station,Entree,Non_Applicable,FV1,2019-05-01,,25.9,7.59,1543.0,-295.0,537.0,1360.0,244.0,,17.17,50.0,150.0,20.4,4000000.0,,,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,25.7,8.12,1192.0,44.0,39.4,184.0,28.0,,6.78,60.0,110.0,16.1,1000000.0,,,SFV1c,False,92.66,86.47,88.52,26.67,21.08
Sanar_Station,Entree,Non_Applicable,General,2019-05-01,,25.5,7.97,1370.0,-250.0,706.0,1330.0,328.0,,15.81,20.0,130.0,25.8,23300000.0,,,Entree 1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,26.7,7.59,1272.0,-209.0,64.7,247.0,50.0,,4.52,20.0,60.0,11.0,1000000.0,,,SFV1a,False,90.84,81.43,84.76,53.85,57.36
Sanar_Station,Entree,Non_Applicable,General,2019-05-01,,25.5,7.97,1370.0,-250.0,706.0,1330.0,328.0,,15.81,20.0,130.0,25.8,23300000.0,,,Entree 1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,24.9,8.38,1272.0,-12.0,90.0,260.0,61.0,,9.04,30.0,130.0,23.1,13300000.0,,,SFV1b,False,87.25,80.45,81.4,0.0,10.47
Sanar_Station,Entree,Non_Applicable,General,2019-05-01,,25.5,7.97,1370.0,-250.0,706.0,1330.0,328.0,,15.81,20.0,130.0,25.8,23300000.0,,,Entree 1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,25.7,8.12,1192.0,44.0,39.4,184.0,28.0,,6.78,60.0,110.0,16.1,1000000.0,,,SFV1c,False,94.42,86.17,91.46,15.38,37.6
Sanar_Station,Entree,Non_Applicable,FV1,2019-05-13,,27.4,7.35,1404.0,-237.0,,,,,,,,,,,,Entree FV1,True,Sanar_Station,Sortie,Filtre_Vertical,FV1,,28.8,8.1,1203.0,-185.0,,,,,,,,,,,,SFV1c,True,,,,,
Sanar_Station,Entree,Non_Applicable,General,2019-05-13,,27.4,7.84,1282.0,-224.0,,,,,,,,,,,,Entree 1,True,Sanar_Station,Sortie,Filtre_Vertical,FV1,,28.8,8.1,1203.0,-185.0,,,,,,,,,,,,SFV1c,True,,,,,
Sanar_Station,Entree,Non_Applicable,FV1,2019-05-23,,27.5,7.58,1339.0,-248.0,,,,,,,,,,,,Entree FV1,True,Sanar_Station,Sortie,Filtre_Vertical,FV1,,28.1,8.13,1144.0,-176.0,,,,,,,,,,,,SFV1a,True,,,,,
Sanar_Station,Entree,Non_Applicable,General,2019-05-23,,26.4,7.33,1214.0,-213.0,,,,,,,,,,,,Entree 1,True,Sanar_Station,Sortie,Filtre_Vertical,FV1,,28.1,8.13,1144.0,-176.0,,,,,,,,,,,,SFV1a,True,,,,,
